movieId,title,tagline,overview,keywords,genres,release_date,budget
1,Toy Story,,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","[{""id"": 931, ""name"": ""jealousy""}, {""id"": 4290, ""name"": ""toy""}, {""id"": 5202, ""name"": ""boy""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 9713, ""name"": ""friends""}, {""id"": 9823, ""name"": ""rivalry""}, {""id"": 165503, ""name"": ""boy next door""}, {""id"": 170722, ""name"": ""new toy""}, {""id"": 187065, ""name"": ""toy comes to life""}]","[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",1995-10-30,30000000
10,GoldenEye,No limits. No fears. No substitutes.,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"[{""id"": 701, ""name"": ""cuba""}, {""id"": 769, ""name"": ""falsely accused""}, {""id"": 1308, ""name"": ""secret identity""}, {""id"": 2812, ""name"": ""computer virus""}, {""id"": 3268, ""name"": ""secret base""}, {""id"": 3272, ""name"": ""secret intelligence service""}, {""id"": 3278, ""name"": ""kgb""}, {""id"": 3376, ""name"": ""satellite""}, {""id"": 3531, ""name"": ""special car""}, {""id"": 3560, ""name"": ""cossack""}, {""id"": 3561, ""name"": ""electromagnetic pulse""}, {""id"": 3562, ""name"": ""time bomb""}, {""id"": 3563, ""name"": ""st. petersburg russia""}, {""id"": 3564, ""name"": ""ejection seat""}, {""id"": 193008, ""name"": ""red army""}]","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",1995-11-16,58000000
14,Nixon,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.","An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","[{""id"": 840, ""name"": ""usa president""}, {""id"": 2946, ""name"": ""presidential election""}, {""id"": 4240, ""name"": ""watergate scandal""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 6086, ""name"": ""government""}, {""id"": 6165, ""name"": ""historical figure""}]","[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}]",1995-12-22,44000000
15,Cutthroat Island,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","[{""id"": 911, ""name"": ""exotic island""}, {""id"": 1454, ""name"": ""treasure""}, {""id"": 1969, ""name"": ""map""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 5470, ""name"": ""scalp""}, {""id"": 12988, ""name"": ""pirate""}]","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",1995-12-22,98000000
16,Casino,No one stays at the top forever.,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,"[{""id"": 383, ""name"": ""poker""}, {""id"": 726, ""name"": ""drug abuse""}, {""id"": 1228, ""name"": ""1970s""}, {""id"": 2635, ""name"": ""overdose""}, {""id"": 33625, ""name"": ""illegal prostitution""}]","[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",1995-11-22,52000000
17,Sense and Sensibility,Lose your heart and come to your senses.,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","[{""id"": 420, ""name"": ""bowling""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 964, ""name"": ""servant""}, {""id"": 2755, ""name"": ""country life""}, {""id"": 7564, ""name"": ""jane austen""}, {""id"": 10911, ""name"": ""inheritance""}, {""id"": 11109, ""name"": ""military officer""}, {""id"": 15060, ""name"": ""period drama""}, {""id"": 156507, ""name"": ""rainstorm""}, {""id"": 156510, ""name"": ""horse and carriage""}, {""id"": 156512, ""name"": ""decorum""}]","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1995-12-13,16500000
18,Four Rooms,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"[{""id"": 612, ""name"": ""hotel""}, {""id"": 613, ""name"": ""new year's eve""}, {""id"": 616, ""name"": ""witch""}, {""id"": 622, ""name"": ""bet""}, {""id"": 922, ""name"": ""hotel room""}, {""id"": 2700, ""name"": ""sperm""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 160488, ""name"": ""hoodlum""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 198129, ""name"": ""episode film""}]","[{""id"": 80, ""name"": ""Crime""}, {""id"": 35, ""name"": ""Comedy""}]",1995-12-09,4000000
19,Ace Ventura: When Nature Calls,New animals. New adventures. Same hair.,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","[{""id"": 409, ""name"": ""africa""}, {""id"": 1551, ""name"": ""indigenous""}, {""id"": 2526, ""name"": ""human animal relationship""}, {""id"": 5155, ""name"": ""bat""}]","[{""id"": 80, ""name"": ""Crime""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",1995-11-10,30000000
20,Money Train,"Get on, or GET OUT THE WAY!","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","[{""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 1552, ""name"": ""subway""}, {""id"": 14512, ""name"": ""new york city""}, {""id"": 155735, ""name"": ""new york subway""}, {""id"": 156120, ""name"": ""train robbery""}]","[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",1995-11-21,60000000
21,Get Shorty,"The mob is tough, but it’s nothing like show business.","Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","[{""id"": 395, ""name"": ""gambling""}, {""id"": 416, ""name"": ""miami""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 8438, ""name"": ""job""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 9935, ""name"": ""travel""}, {""id"": 10391, ""name"": ""mafia""}, {""id"": 10594, ""name"": ""money""}, {""id"": 11061, ""name"": ""debt""}, {""id"": 11578, ""name"": ""mobster""}, {""id"": 12094, ""name"": ""business""}, {""id"": 12396, ""name"": ""hollywood""}, {""id"": 13142, ""name"": ""gangster""}, {""id"": 14536, ""name"": ""crime""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 14964, ""name"": ""drug""}, {""id"": 33879, ""name"": ""producer""}, {""id"": 159608, ""name"": ""con""}]","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",1995-10-20,30250000
